team,week,VoA_Output,VoA_Ranking_Ovr,VoA_Rating_Ovr
MIA,13,17.36842105263158,20,-0.9612463374061376
ATL,13,16.68421052631579,21,-1.225126088821236
NYG,13,17.63157894736842,22,-1.577845460923724
MIN,13,16.842105263157894,23,-1.605576840623157
CIN,13,21.26315789473684,24,-2.161685811459379
PIT,13,18.105263157894736,25,-2.4253130553775173
CAR,13,20.55263157894737,26,-2.7375340124200105
CLE,13,18,27,-2.930377843942595
WAS,13,17.710526315789473,28,-3.903429242726064
NYJ,13,19.105263157894736,29,-5.15788431131517
NO,13,19.68421052631579,30,-6.438341728626234
LV,13,21.86842105263158,31,-9.386968407955596
TEN,13,22.789473684210527,32,-10.627585101429323
SEA,14,7.526315789473684,1,12.879201941140073
LA,14,7.605263157894737,2,10.770724834145124
HOU,14,12.63157894736842,3,8.718119470170336
NE,14,8.657894736842104,4,8.423375585242335
KC,14,11.394736842105264,5,7.367383288088994
DEN,14,10.842105263157896,6,7.180547461160228
IND,14,10.447368421052632,7,6.649295817962854
BUF,14,10.81578947368421,8,6.481260470213867
JAX,14,10.605263157894736,9,5.840980544740095
LAC,14,13.447368421052632,10,5.714009034730027
GB,14,9.342105263157896,11,5.633199207426349
DET,14,10.657894736842104,12,4.869803538694334
SF,14,14.526315789473683,13,3.181660913663883
MIA,14,15.63157894736842,14,1.7430381614367547
MIN,14,15.36842105263158,15,1.6334493439782762
CHI,14,14.763157894736842,16,0.7052457641366656
PHI,14,14.078947368421051,17,0.2453850746671654
BAL,14,15.078947368421051,18,0.22875801409262836
CLE,14,17.894736842105264,19,-0.3804933566469976
DAL,14,16.842105263157894,20,-0.5273689897036935
PIT,14,17,21,-0.7664220540270572
CIN,14,20.92105263157895,22,-1.041351905382938
TB,14,17.973684210526315,23,-1.1351159207628936
NYG,14,17.42105263157895,24,-1.5412289397093215
ARI,14,18.105263157894736,25,-2.680080590234879
CAR,14,20.68421052631579,26,-3.243489447814489
ATL,14,18.18421052631579,27,-3.347471069321718
NO,14,18.36842105263158,28,-5.768498579925513
NYJ,14,19.710526315789473,29,-5.807847212697218
WAS,14,18.63157894736842,30,-6.9608805475020965
TEN,14,22.394736842105264,31,-8.266405896477922
LV,14,21.42105263157895,32,-8.29233587010069
LA,15,8.131578947368421,1,11.86612273116046
SEA,15,7.657894736842105,2,11.224627936668716
HOU,15,11.789473684210526,3,9.09788257333216
JAX,15,9.289473684210526,4,7.900109683462471
KC,15,11.842105263157896,5,7.892239936215541
NE,15,8.973684210526315,6,7.745584713804001
IND,15,10.710526315789474,7,7.413288111490132
BUF,15,11.18421052631579,8,7.410049724477736
DEN,15,11.052631578947368,9,7.055979672843138
LAC,15,13.447368421052632,10,5.65506977971847
GB,15,9.63157894736842,11,5.195269112014623
SF,15,14.552631578947368,12,4.365694842319941
DET,15,11.86842105263158,13,4.024596173407608
CHI,15,13.763157894736842,14,3.190047286878317
PHI,15,12.710526315789474,15,2.1198751419868525
BAL,15,13.736842105263158,16,1.0923362319091785
MIN,15,15.5,17,0.5132355601882197
DAL,15,17.236842105263158,18,0.2542108809989612
MIA,15,16.289473684210527,19,0.2428147873759429
PIT,15,16.44736842105263,20,-0.4593610776410664
TB,15,18.36842105263158,21,-1.1763722561173395
